"name","title","male","house","isMarried","isNoble","age","popularity","isAlive","gender"
"Walder Frey","Lord of the Crossing",1,"Frey",1,1,97,0.89632107,1,"men"
"Addison Hill","Ser",1,"Swyft",0,1,NA,0.267558528,1,"men"
"Aemma Arryn","Queen",0,"Arryn",1,1,23,0.183946488,0,"women"
"Sylva Santagar","Greenstone",0,"Santagar",1,1,29,0.043478261,1,"women"
"Valarr Targaryen","Hand of the King",1,"Targaryen",1,1,26,0.431438127,0,"men"
"Wilbert Osgrey","Ser",1,"Osgrey",0,1,NA,0.02006689,1,"men"
"Willem Wylde","Ser",1,"Wylde",0,1,NA,0.02006689,1,"men"
"Willis Wode","Ser",1,"Wode",0,1,NA,0.02006689,1,"men"
"Willis Fell","Ser",0,"Fell",0,1,NA,0.023411371,1,"women"
"Timett","red hand",1,"Burned Men",0,1,27,0.073578595,1,"men"
"Laenor Velaryon","Ser",1,"Velaryon",1,1,26,0.193979933,0,"men"
"Leobald Tallhart","Castellan",1,"Tallhart",1,1,NA,0.110367893,0,"men"
"Margaery Tyrell","Seven Kingdoms",0,"Tyrell",1,1,22,1,1,"women"
"Naerys Targaryen","PrincessQueen",0,"Targaryen",1,1,100,0.220735786,0,"women"
"Quellon Greyjoy","Lord of the Iron Islands",1,"Greyjoy",1,1,NA,0.090301003,0,"men"
"Quentyn Blackwood","Lord",0,"Blackwood",0,1,NA,0.02006689,0,"women"
"Quentin Tyrell","Ser",0,"Tyrell",0,1,NA,0.127090301,1,"women"
"Raymar Royce","Lord",1,"Royce of the Gates of the Moon",0,1,NA,0.013377926,1,"men"
"Raymond Nayland","Ser",0,"Nayland",0,1,NA,0.016722408,1,"women"
"Red Lamb","Ser",1,"Targaryen",0,1,NA,0,1,"men"
"Reynard Webber","Lord of Coldmoat",0,"Webber",0,1,NA,0.006688963,1,"women"
"Rhaegel Targaryen","Prince of Dragonstone",1,"Targaryen",1,1,42,0.096989967,0,"men"
"Rhaena Targaryen (daughter of Daemon)","Lady",0,"Targaryen",1,1,100,0.143812709,0,"women"
"Rhaena Targaryen (daughter of Aegon III)","PrincessSepta",0,"Targaryen",0,1,100,0.073578595,0,"women"
"Rhaenys Targaryen","Queen",0,"Targaryen",1,1,35,0.277591973,0,"women"
"Rhaenys Targaryen (daughter of Rhaegar)","Princess",0,"Targaryen",0,1,3,0.244147157,0,"women"
"Rhaenys Targaryen (daughter of Aemon)","Princess",0,"Targaryen",1,1,55,0.143812709,0,"women"
"Richard Farrow","Ser",0,"Farrow",0,1,NA,0.016722408,0,"women"
"Richard Lonmouth","Ser",1,"Lonmouth",0,1,NA,0.023411371,1,"men"
"Robb Reyne","Ser",1,"Reyne",0,1,NA,0.006688963,1,"men"
"Robert Ashford","Ser",1,"Ashford",0,1,NA,0.023411371,1,"men"
"Robert Paege","Ser",0,"Paege",0,1,NA,0.010033445,1,"women"
"Roelle","Septa",0,"Tarth",0,0,NA,0,1,"women"
"Roland Crakehall (Kingsguard)","Ser",1,"Crakehall",0,1,NA,0.02006689,1,"men"
"Rolland Darklyn","Ser",1,"Darklyn",0,1,NA,0.010033445,1,"men"
"Rupert Crabb","Ser",0,"Crabb",0,1,NA,0.006688963,1,"women"
"Samwell Spicer","Ser",1,"Spicer",0,1,NA,0.013377926,1,"men"
"Sefton Staunton","Septon",1,"Staunton",0,0,NA,0.030100334,1,"men"
"Simon Leygood","Ser",0,"Leygood",0,1,NA,0.003344482,1,"women"
"Stafford Lannister","Ser",1,"Lannister",1,1,53,0.170568562,0,"men"
